繁體	简体	清末	甬	出處（甬）	鎮	出處（鎮）	侖	出處（侖）	定	出處（定）	字頻	備註	篩選
稞	稞		khou1										
蝌	蝌	kʽo	khou1	2									
箍	箍		khou1	2							0.05	箍桶	
薖	薖	kʽo	khou1	7									
𨗲	𨗲		khou1	6									
可	可	kʽo	khou3	1	khou3	9	khou3	10	khou3	11			
坷	坷	kʽo	khou3	7									
舸	舸	kʽo	khou3	7									
哿	哿	kʽo	khou3	7									
岢	岢		khou3										
課	课	kʽo	khou5	1	khou5	9	khou5	10	khou5	11			
騍	骒		khou5	1									
過	过		khou5	3							0.00	又音	
俄	俄	ngo	ngou2	2	ngou2	9	ngou2	10	ngou2	11			
蛾	蛾	ngo	ngou2	1			ngou6	10	ngou2	11			
娥	娥	ngo	ngou2	2	ngou2	9							
鵝	鹅	ngo	ngou2	1	ngou6	9	ngou6	10	ngou2	11			
鵞	鹅		ngou2	1									
䳘	鹅		ngou2	1									
䳗	鹅		ngou2	1									
峨	峨	ngo	ngou2	7									
峩	峨		ngou2	7									
鋨	锇		ngou2									化學元素	
莪	莪	ngo	ngou2	7									
皒	皒		ngou2										
𠩙	𠩙	ngo	ngou2	7									
涐	涐		ngou2										
睋	睋		ngou2										
誐	誐		ngou2										
訛	讹	ngo	ngou2	2			ngou2	10					
譌	讹		ngou2	2									
吪	吪	ngo	ngou2	7									
鈋	𨱂	ngo	ngou2	7									
囮	囮		ngou2										
魤	魤		ngou2										
和	和	ʽo	ngou2								0.00	又音 僅限於“嬲和”	
㛂	㛂	ngo	ngou4	7									
騀	騀		ngou4										
我	我						ngou6	10	ngou4	11	0.05		
臥	卧		ngou6	2	ngou6	9	ngou6	10	ngou6	11			
餓	饿	ngo	ngou6	1	ngou6	9	ngou6	10	ngou6	11			
荷	荷	ho	hou1	2	hou3	9	hou5	10	hou5	11	0.00	僅限於“薄荷”	
藃	藃		hou1	3								背脊或木板等彎曲弓起	
𩑸	𩑸	ho	hou1	7									
火	火	ho	hou3	1	hou3	9	hou3	10	hou3	11			
灬	灬		hou3										
鈥	钬		hou3									化學元素	
伙	伙		hou3	1	hou3	9			hou3	11			
夥	伙	ho	hou3	1	hou3	9	hou3	10	hou3	11			
邩	邩		hou3										
呵	呵	ho	hou5	1									
訶	呵	ho	hou5	1									
𧬱	𧬱	ho	hou5	7									
貨	货	ho	hou5	1	hou5	9	hou5	10	hou5	11			
火	火	ho	hou5	3			hou1	10			0.00	僅限於“動火”	
伙	伙	ho	hou5	3					hou5	11	0.00	僅限於“有夥”	
夥	伙	ho	hou5	3					hou5	11	0.00	僅限於“有夥”	
河	河	ʽo	ghou2	1	ghou2	9	ghou2	10	ghou2	11			
何	何	ʽo	ghou2	2	ghou2	9	ghou2	10	ghou2	11			
荷	荷	ʽo	ghou2	1	ghou2	9	ghou2	10	ghou2	11			
嗬	嗬		ghou2	3					gho2	11			
菏	菏		ghou2										
蚵	蚵		ghou2										
魺	鲄		ghou2										
禾	禾	ʽo	ghou2	1	ghou2	9	ghou2	10	ghou2	11			
和	和	ʽo	ghou2	1	ghou2	9	ghou2	10	ghou2	11		和平	
咊	和		ghou2	1								和平	
龢	和		ghou2	1								和平	
𤖱	𤖱		ghou2	3								𤖱頭	
啝	啝	ʽo	ghou2	7									
盉	盉	ʽo	ghou2	7									
𣲲	𣲲	ʽo	ghou2	7									
鉌	鉌	ʽo	ghou2	7									
紅	红	ʽong	ghou2	3							0.00	又音 僅限於“紅毛瓶”	
嚄	嚄								ghou2	11		語氣詞(定海)	
禍	祸	ʽo	ghou4	1	ghou6	9	ghou6	10	ghou4	11			
旤	祸		ghou4	1									
荷	荷	ʽo	ghou4	7	ghou2	9	ghou2	10	ghou2	11	0.00	荷槍實彈	
賀	贺	ʽo	ghou6	7	ghou6	9	ghou6	10	ghou6	11			
和	和	ʽo	ghou6	2			ghou6	10	ghou6	11	0.01	和麵	
俰	俰		ghou6										
袔	袔		ghou6										
阿	阿	o	ou1	2	ou1	9	ou1	10	ou1	11	0.05	阿膠	
娿	婀		ou1										
婀	婀		ou1										
痾	疴		ou1										
鈳	钶		ou1										
倭	倭	o	ou1	1	ou1	9	ou1	10	ou1	11			
唩	唩	o	ou1	7									
窩	窝	o	ou1	1			ou1	10	ou1	11			
萵	莴	o	ou1	2							0.00	文讀	
渦	涡	o	ou1	2	ou1	9							
捼	捼	o	ou1	1			ou3	10			1000	捼肩搭背	
𤉦	𤉦		ou1	1									
涹	涹		ou1										
踒	踒		ou1										
撾	挝		ou1										
濄	㳡		ou1										
婐	婐	o	ou3	7									
咼	呙	o	ou3	7					ou5	11			
屙	屙	o	ou5	1			ou5	10				大便	
倭	倭	o	ou5	3	ou1	9	ou1	10	ou1	11	0.00	“屙”形容脾氣倔和事情糟糕時也作“倭”	
惡	恶		ou5	3							0.01	大便	
污	污		ou5	3							0.01	大便	
汙	污		ou5	3							0.01	大便	
汚	污	u	ou5	3							0.01	大便	
涴	涴		ou5				ou5	10			2000	大便	
褒	褒	peo			pei1	9							
吥	吥	pʽeo	pheu1	7									
秠	秠	pʽeo	pheu3	7									
紑	紑	pʽeo	pheu3	7									
裒	裒	pʽeo	pheu3	7									
抔	抔	beo	beu2	7									
坏	坏	beo	beu2	7									
𧉈	𧉈	beo	beu2	7									
衃	衃	beo	beu2	7									
掊	掊	beo	beu2	7									
餢	餢	beo	beu2	7									
裒	裒		beu2										
箁	箁		beu2										
犃	犃		beu4										
謀	谋	meo	meu2	2	mei2	9	meu2	10	mei2	11			
矛	矛	meo	meu2	2			meu2	10	mei2	11		白讀	
袤	袤	meo	meu2	7									
鍪	鍪	meo	meu2	7									
䋷	䋷	meo	meu2	7									
懋	懋	meo	meu2	7									
蟊	蟊	meo	meu2	7									
髳	髳	meo	meu2	7									
麰	麰	meo	meu2	7									
鴾	鴾	meo	meu2	7									
牟	牟	meo	meu2	2	mei2	9							
眸	眸	meo	meu2	2									
侔	侔	meo	meu2	7									
蛑	蛑	meo	meu2	7									
哞	哞		meu2										
鉾	𫓴		meu2										
劺	劺		meu2										
恈	恈		meu2										
毪	毪		meu2										
拇	拇		meu2	2			meu6	10	mei6	11			
姆	姆		meu2	1							0.10		
𧉯	𧉯	meo	meu2	7									
畝	亩	meo	meu2	2	mei2	9	meu6	10	mei4	11		文讀	
畮	亩		meu2	2								文讀	
畆	亩		meu2	2								文讀	
畂	亩		meu2	2								文讀	
貿	贸	meo	meu2	2	mei2	9	meu6	10					
茂	茂	meo	meu2	2	mei6	9	meu6	10					
鄮	鄮	meo	meu2	2									
繆	缪		meu2								0.00	綢繆	
牡	牡	meo	meu4	1	mei6	9	meu6	10	mei6	11			
母	母	meo	meu4	2	mei6	9	meu6	10	mei4	11			
姥	姥		meu4										
畞	畞		meu4										
踇	踇		meu4										
㮘	㮘	meo	meu6	7									
楙	楙	meo	meu6	7									
瞀	瞀	meo	meu6	7									
愗	愗		meu6										
苺	苺		meu6										
不	不	feo	feu3	7							0.00	古同“否”	
否	否	feo	feu3	2	fei3	9	feu3	10	fei1	11			
缶	缶		feu3										
缹	缹		feu3										
負	负	veo	veu2	2	vei2	9	veu6	10	vei2	11			
浮	浮	veo	veu2	1	vei2	9			vei2	11		白讀	
蜉	蜉	veo	veu2	7									
烰	烰	veo	veu2	7									
琈	琈		veu2										
艀	艀		veu2										
罘	罘	veo	veu2	7									
芣	芣	veo	veu2	7									
涪	涪		veu2										
棓	棓		veu2										
阜	阜	veo	veu2	2	vei2	9			vei2	11		白讀	
䘀	䘀	veo	veu4	7									
峊	峊	veo	veu4	7									
偩	偩		veu4										
萯	萯		veu4										
蝜	蝜		veu4										
復	复	veo	veu6	7							0.00		
兜	兜	teo	teu1	1	tei1	9	teu1	10	tei1	11			
兠	兜		teu1	1									
篼	篼	teo	teu1	7									
𣘛	𣘛	teo	teu1	7									
蔸	蔸		teu1										
侸	侸		teu1										
吺	吺		teu1										
斗	斗	teo	teu3	1	tei3	9	teu3	10	tei3	11			
抖	抖	teo	teu3	1	tei3	9	teu3	10	tei3	11			
蚪	蚪	teo	teu3	7									
阧	阧		teu3										
陡	陡	teo	teu3	2	tei3	9	teu3	10	tei3	11			
鬥	斗		teu5	1	tei5	9	teu5	10	tei5	11			
鬦	斗		teu5	1									
鬭	斗	teo	teu5	1									
鬬	斗		teu5	1									
闘	斗		teu5	1									
枓	枓	teo	teu5	7									
斣	斣		teu5										
偷	偷	tʽeo	theu1	1	thei1	9	theu1	10	thei1	11			
媮	偷		theu1	1									
婾	偷	tʽeo	theu1	1									
鍮	𨱎		theu1										
斢	斢	tʽeo	theu1	1								量詞，幢；座	
透	透	tʽeo	theu1	3							0.00	量詞。幢；座	#
鋀	鋀		theu1										
㪗	㪗		theu3	1					thei3	11	418		
敨	敨		theu3	2	thei3	9	theu3	10					
紏	紏	tʽeo	theu3	7									
䚵	䚵	tʽeo	theu3	7									
黈	黈		theu3										
妵	妵		theu3										
蘣	蘣		theu3										
鈄	钭		theu3										
透	透	tʽeo	theu5	1	thei5	9	theu5	10	thei5	11			
咅	咅		theu5										
頭	头	deo	deu2	1	dei2	9	deu2	10	dei2	11			
投	投	deo	deu2	1	dei2	9	deu2	10	dei2	11			
骰	骰	deo	deu2	7	dei6	9							
酘	酘		deu2										
亠	亠	deo	deu2	7									
梪	梪		deu2										
毭	毭		deu2										
浢	浢		deu2										
餖	饾		deu2										
斷	断		deu2	3							0.00	又音 僅限於“斷頭爛腳”	
豆	豆	deo	deu6	1	dei6	9	deu6	10	dei6	11			
荳	豆	deo	deu6	1									
逗	逗	deo	deu6	2	dei6	9	teu5	10	dei6	11			
痘	痘	deo	deu6	7	dei6	9			dei6	11			
脰	脰	deo	deu6	7									
郖	郖	deo	deu6	7									
㛒	㛒	deo	deu6	7									
䛠	䛠	deo	deu6	7									
𩊪	𩊪	deo	deu6	7									
竇	窦	deo	deu6	1									
讀	读	deo	deu6	7							0.00	句讀	
羺	羺	neo	neu2	7									
啂	啂		neu4										
耨	耨	neo	neu6	7									
鎒	鎒	neo	neu6	7									
槈	槈		nou6										
槈	槈		neu6										
獳	獳	neo	neu6	7									
檽	檽	neo	neu6	7									
譳	譳		nou6										
譳	譳		neu6										
㝅	㝅	neo	neu6	7									
樓	楼	leo	leu2	1	lei2	9	leu2	10	lei2	11			
髏	髅	leo	leu2	2	lei2	9							
婁	娄	leo	leu2	7									
嘍	喽		leu2										
耬	耧		leu2										
螻	蝼	leo	leu2	7					lei6	11			
蔞	蒌	leo	leu2	7									
廔	廔		leu2										
遱	𫐷		leu2										
鞻	鞻		leu2										
瞜	䁖		leu2										
塿	𪣻	leo	leu4	7									
摟	搂	leo	leu4	2	lou6	9			lei2	11			
簍	篓	leo	leu4	1	lei6	9	leu6	10	lei4	11			
嶁	嵝		leu4										
甊	甊		leu4										
陋	陋	leo	leu6	7	lei6	9	leu6	10	lei6	11			
屚	屚		leu6										
漏	漏	leo	leu6	1	lei6	9	leu6	10	lei6	11			
僂	偻	leo	leu6	1								僂勾師	
瘻	瘘		leu6										
𠞭	𫦉		lheu1	2					lhei1	11			
摟	搂		lheu1	3	lhou5	9			lei2	11	0.00	“𠞭”也作“摟”	#
鏤	镂	leo	lheu1	1			lheu1	10	lhei1	11		摳；挖取	
瞜	䁖		lheu1	3									#
瘻	瘘	l̆eo	lheu5	7									
瘺	瘘	l̆eo	lheu5	7									
艛	艛	l̆eo	lheu5	7									
鄒	邹	tseo	tseu1	2	tsei1	9	tseu1	10	tsei1	11			
縐	绉	tseo	tseu1	2	tsei5	9	tseu5	10					
謅	诌		tseu1										
騶	驺	tseo	tseu1	7									
篘	𥬠	tseo	tseu1	7									
搊	搊	tseo	tseu1	7									
奏	奏	tseo	tseu1	2	tsei5	9	tseu5	10	tsei5	11			
鯫	鲰	tseo	tseu1	7									
諏	诹	tseo	tseu1	7									
陬	陬	tseo	tseu1	7									
鄹	鄹	tseo	tseu1	7									
掫	掫	tseo	tseu1	7									
緅	緅	tseo	tseu1	7									
棷	棷	tseo	tseu1	7									
箃	箃		tseu1										
郰	郰		tseu1										
黀	黀		tseu1										
䑼	䑼	tseo	tseu1	7									
走	走	tseo	tseu3	1	tsei3	9	tseu3	10	tsei3	11			
赱	走	tseo	tseu3	1	tsei3	9	tseu3	10	tsei3	11			
𩋄	𩋄	tseo	tseu3	7									
𧌗	𧌗	tseo	tseu3	7									
䪮	䪮	tseo	tseu3	7									
揍	揍		tseu5						tsei5	11			
𨂡	𨂡	tseo	tseu5	7									
皺	皱	tseo	tseu5	1	tsei5	9	tseu5	10	tsei5	11			
㑳	㑇	tseo	tseu5	7									
甃	甃		tseu5										
醔	醔		tsheu1										
湊	凑	tsʽeo	tsheu5	1	tshei5	9	tsheu5	10	tshei5	11			
凑	凑		tsheu5	1									
腠	腠	tsʽeo	tsheu5	7									
輳	辏	tsʽeo	tsheu5	7									
簉	簉		tsheu5										
遚	遚		tsheu5										
賺	赚						dzeu6	10			0.00	又音，舊(北侖)	
叟	叟	seo	seu1	2	sei5	9	seu3	10	sei3	11			
搜	搜	seo	seu1	2	sei5	9	seu1	10	sei1	11			
捜	搜	seo	seu1	2	sei5	9	seu1	10	sei1	11			
蒐	搜	seo	seu1	2									
颼	飕	seo	seu1	1	sei5	9	seu1	10	sei1	11			
艘	艘	seo	seu1	2	sei5	9			sei1	11			
餿	馊	seo	seu1	1	sei5	9	seu1	10	sei1	11			
溲	溲	seo	seu1	7									
鎪	锼	seo	seu1	7									
𩌅	𩌅	seo	seu1	7									
䱸	𫠑	seo	seu1	7									
廋	廋		seu1										
螋	螋		seu1										
捜	捜		seu1										
獀	獀		seu1										
鄋	鄋		seu1										
騪	𩨄		seu1										
𣔱	𣔱	seo	seu1	7									
𣮬	𣮬	seo	seu1	7									
𪞫	𪞫		seu1	1								冷𪞫𪞫	
毨	毨	shün	seu3	1								禽類、鳥類用嘴整理羽毛	
瞍	瞍	seo	seu3	7									
傁	傁		seu3										
叜	叜		seu3										
廀	廀		seu3										
擻	擞	seo	seu3	7									
藪	薮	seo	seu3	7									
嗾	嗾		seu3										
瘦	瘦	seo	seu5	1	sei5	9	seu5	10	sei5	11			
嗖	嗖		seu5										
嗽	嗽	seo	seu5	1	sei5	9	seu5	10	sei5	11			
漱	漱	seo	seu5	2					sei5	11			
潄	漱		seu5	2									
摗	摗		seu5	1								（鴨子等）以嘴覓取食物	
瘶	瘶		seu5										
愁	愁		zeu2	1	zei2	9	zeu2	10	zei2	11			
驟	骤		zeu2	2	dzei6	9	tseu5	10	zei6	11			
䠫	䠫		zeu2	7									
僽	僽		zeu6										
愁	愁		zeu6	3	zei2	9	zeu2	10	zei2	11	0.00	僅限於“愁愁”	
勾	勾	keo	keu1	1	kei1	9	keu1	10	kei1	11			
句	句		keu1								0.00	古地名	
鈎	钩		keu1	1									
鉤	钩	keo	keu1	1	kei1	9	keu1	10	kei1	11			
篝	篝	keo	keu1	7									
溝	沟	keo	keu1	1	kei1	9	keu1	10	kei1	11			
䐟	䐟	keo	keu1	7									
購	购	keo	keu1	2	kei5	9	keu5	10	kei5	11			
構	构	keo	keu1	2	kei5	9	keu5	10	kei5	11			
搆	构	keo	keu1	2									
媾	媾	keo	keu1	2	kei5	9							
褠	褠		keu1										
鞲	鞲		keu1										
佝	佝		keu1								0.01		
垢	垢	keo	keu1	2									
緱	缑		keu1										
狗	狗	keo	keu3	1	kei3	9	keu3	10	kei3	11			
枸	枸		keu3	1									
苟	苟	keo	keu3	7	kei3	9	keu3	10	kei3	11			
耉	耉	keo	keu3	7									
笱	笱	keo	keu3	7									
岣	岣		keu3										
玽	玽		keu3										
耇	耇		keu3										
茩	茩		keu3										
冓	冓		keu5										
遘	遘	keo	keu5	1								一遘晝	
傋	傋	keo	keu5	7									
覯	觏	keo	keu5	7									
煹	煹		keu5										
姤	姤	keo	keu5	7									
詬	诟	keo	keu5	7									
彀	彀	keo	keu5	7									
勾	勾	keo	keu5				keu5	10	kei5	11	0.05	勾當	
夠	够	keo	keu5	1	kei5	9	keu5	10	kei5	11			
够	够		keu5	1	kei5	9							
雊	雊		keu5										
䝭	𫎧	keo	keu5	7									
彄	彄		kheu1										
芤	芤		kheu1										
口	口	kʽeo	kheu3	1	khei3	9	kheu3	10	khei3	11			
摳	抠	kʽeo	kheu5	2			kheu1	10	khei1	11			
叩	叩	kʽeo	kheu5	7	khei5	9	kheu5	10	khei3	11			
敂	叩		kheu5	7									
扣	扣	kʽeo	kheu5	1	khei5	9	kheu5	10	khei5	11			
釦	扣	kʽeo	kheu5	1									
𧥣	𬣚		kheu5	1					khei3	11		事先與人說定	
筘	筘		kheu5										
寇	寇		kheu5	2	khei5	9	kheu5	10	khei5	11			
宼	寇	kʽeo	kheu5	2									
蔻	蔻	kʽeo	kheu5	7	khei5	9							
簆	簆	kʽeo	kheu5	7									
鷇	鷇	kʽeo	kheu5	7									
瞉	瞉		kheu5										
𧺤	𧺤		geu6	1									
跔	跔		geu6	3	gei2	9	geu2	10					
痀	痀	kyü	geu6	2									
牛	牛		ngeu2	1	ngei2	9	ngeu2	10	ngei2	11			
偶	偶								ngei2	11			
耦	耦	ngeo	ngeu4	7	ngei6	9							
藕	藕	ngeo	ngeu4	1	ngei6	9	ngeu6	10	ngei4	11			
偶	偶	ngeo	ngeu4	1	ngei6	9	ngeu6	10	ngei4	11			
蕅	蕅		ngeu4										
隅	隅				ngei6								#
𩥋	𩥋	ngeo	ngeu6	7									
吼	吼		heu1	3			heu1	10			0.00	急迫；着急	
齁	齁	heo	heu1	7									
呴	呴		heu1										
𤘽	𤘽	heo	heu3	7									
吽	吽		heu3										
吼	吼	heo	heu3	3	hei3	9	heu3	10	hei3	11			
鱟	鲎	heo	heu5	1	hei1	9	heu5	10	hei5	11			
虹	虹								hei5	11	0.05		
煦	煦		heu5	3							0.05		
蔲	蔲		heu5										
佝	佝		heu5								0.05	佝背	
豞	豞		heu5										
侯	侯	ʽeo	gheu2	2	ghei2	9	gheu2	10	ghei2	11			
喉	喉	ʽeo	gheu2	1	ghei2	9	gheu2	10	ghei2	11			
猴	猴	ʽeo	gheu2	1	ghei2	9	gheu2	10	ghei2	11			
䞀	䞀		gheu2	4									
糇	糇		gheu2	7									
餱	糇	ʽeo	gheu2	7									
篌	篌	ʽeo	gheu2	7									
鯸	鯸	ʽeo	gheu2	7									
瘊	瘊		gheu2				gheu2	10					
睺	睺		gheu2										
帿	帿		gheu2										
矦	矦		gheu2										
翭	翭		gheu2										
葔	葔		gheu2										
骺	骺		gheu2										
銗	銗		gheu2										
厚	厚	ʽeo	gheu4	1	ghei6	9	gheu6	10	ghei4	11			
後	后	ʽeo	gheu4	1	ghei6	9	gheu6	10	ghei4	11			
后	后	ʽeo	gheu4	2			gheu6	10	ghei4	11			
㖃	㖃		gheu4	3								形容哭得很響、很傷心的聲音	
垕	垕		gheu4										
郈	郈		gheu4										
逅	逅	ʽeo	gheu6	7									
鮜	鲘		gheu6										
候	候	ʽeo	gheu6	1	ghei6	9	gheu6	10	ghei6	11			
堠	堠	ʽeo	gheu6	7									
歐	欧	eo	eu1	2	ei1	9	eu1	10	ei1	11			
甌	瓯	eo	eu1	2	ei1	9	eu1	10	ei1	11			
嘔	呕	eo	eu1	1	ei1	9	eu1	10	ei3	11	0.00		
區	区		eu1	2							0.01	姓	
漚	沤	eo	eu1	2			eu5	10	ei5	11			
毆	殴	eo	eu1	2	ei1	9	eu3	10	ei3	11			
謳	讴	eo	eu1	7	ei1	9			ei1	11	56532		
鷗	鸥	eo	eu1	7	ei1	9							
饇	饇	eo	eu1	7									
瞘	眍	eo	eu1	7			kheu1	10					
䁱	眍	eo	eu1	7									
櫙	櫙		eu1										
膒	膒		eu1										
鏂	鏂		eu1										
哎	哎		eu1	1								嘆詞，用於招呼及應答，應答時，有時讀成[œʏ˥˧]	
鴉	鸦		eu1	3	oe1	9					0.00	又音 僅限於“老鴉”	
鵶	鸦		eu1	3	oe1	9					0.00	又音 僅限於“老鴉”	
嘔	呕	eo	eu3				eu3	10	ei3	11			
塸	塸		eu3										
傴	伛	eo	eu5	1									
慪	怄		eu5	3			eu5	10	ei5	11			
浜	浜	ping	pan1	1	pan1	9	pan1	10	pan1	11			
繃	绷		pan1	1	pan1	9			pan1	11		名詞	
綳	绷	pang	pan1	1	pan1	9						名詞	
伻	伻	pang	pan1	7									
𢆸	𢆸	pang	pan1	7									
嗙	嗙		pan1										
祊	祊		pan1										
閍	𨸂		pan1										
絣	絣		pan1										
崩	崩						pan1				0.01		
氆	氆		pan3										
伯	伯		pan1	1	pan1	9	pan3	10	pan5	11	0.05	兒化殘留	
繃	绷		pan5	2	pan1	9			pan1	11		動詞	
綳	绷	pang	pan5	2	pan1	9						動詞	
乓	乓		phan1	1									
烹	烹		phan1	3	phan1	9	phan1	10	phan1	11			
胓	胓		phan1	3								胓㠮	
抨	抨	pʽang	phan1	7									
怦	怦	pʽang	phan1	7									
泙	泙		phan1										
漰	漰		phan1										
恲	恲		phan1										
匉	匉		phan1										
閛	閛		phan1										
剻	剻		phan3										
碰	碰		phan5	1			phan5	10	phan5	11	0.05	碰杯	
踫	碰		phan5	1							0.05	碰杯	
掽	碰		phan5	1					ban6	11	0.05	碰杯	
椪	椪		phan5										
棚	棚	bang	ban2	1	ban2	9	ban2	10	ban2	11			
膨	膨	bang	ban2	1	ban2	9	ban2	10	ban2	11			
𦗭	𦗭	bang	ban2	1	ban2	9			ban6	11		聾𦗭	
彭	彭	beng	ban2	1	ban2	9	ban2	10	ban2	11			
𥕱	𥕱	bang	ban2	7									
嘭	嘭		ban2										
朋	朋	beng	ban2	1	ban2	9	ban2	10	ban2	11			
鵬	鹏	beng	ban2	2									
趽	趽		ban2	3								矮趽狗	
憉	憉		ban2										
輣	輣		ban2										
庄	庄		ban2										
蚌	蚌	bang	ban4	1	ban6	9	ban6	10	ban6	11			
䰷	䰷	bang	ban4	7									
蟛	蟛	beng	ban4	1								蟛蟲	
蟚	蟚		ban2									同“蟛”	
甏	甏	bang	ban6	1	ban6	9			ban4	11			
碰	碰	bang	ban6	1			ban6	10				碰着	
踫	碰	bang	ban6	1								碰着	
掽	碰	bang	ban6	1					ban6	11		碰着	
𦝤	𦝤	bang	ban6	7									
湴	湴	bang	ban6	7									
盲	盲		man2	3							0.00	僅限於“青盲瞎”	
蜢	蜢	mang	man4	1					man6	11			
艋	艋		man4						man4	11			
猛	猛	mang	man4	1	man6	9	man6	10	man4	11			
錳	锰		man4									化學元素	
勐	勐		man4										
虻	虻		man4	3			man2	10			0.00	僅限於“黃虻”	
蝱	虻		man4	3							0.00	僅限於“黃虻”	
孟	孟	meng	man6	1	man6	9	man6	10	man6	11			
厖	厖		man6	3							0.01	“金孟”又作“金厖”	
𩜠	𩜠		mhan1										
𩛎	𩛎		mhan1										
飯	飯		mhan1	6	mhan5	9					0.00	飯飯 兒童用語	
孟	孟	meng	mhan1	3	man6	9	man6	10	man6	11	0.00	僅限於“長孟孟”	
打	打	tang	tan3	1	tan3	9	tan3	10	tan3	11			
帶	带	tæ	tan3	3							0.00	又音 僅限於“對帶”	
帯	带		tan3	3							0.00	又音 僅限於“對帶”	
宕	宕		than5	3							0.00	僅限於“軟宕宕”	
他	他		than5	3	tha1	9	tha5	10	tha5	11	0.00	僅限於“慢他他”	
鐋	铴		than5	3								鐋鑼	
宕	宕	dang	dan6	1	dan6	9							
趤	趤		dan6	1	dan6	9						逛；散游	
蕩	荡						dan6	10			0.00	遊蕩	#
冷	冷		lan4	1	lan6	9	lan6	10	lan4	11			
拉	拉		lhan5	3							0.00	僅限於“拉打”	
爭	争		tsan1	1	tsan1	9	tsan1	10	tsan1	11		白讀	
睜	睁		tsan1	2	dzan2	9	tsan1	10	tsan1	11		白讀	
撑	撑		tsan1	3							0.05	又音	
撐	撑		tsan1	3							0.05	又音	
棦	棦								tsan1	11			
掙	挣	tsang	tsan5				tsan1	10	tsan1	11	0.05	白讀 掙家計	
㬹	㬹		tsan5	1					tsan1	11			
柼	柼		tsan5										
撑	撑	tsʽang	tshan1	1	tshan1	9							
撐	撑		tshan1	1	tshan1	9	tshan5	10	tshan1	11			
牚	牚		tshan1										
𣛟	𣛟	tsʽang	tshan1	7									
橕	橕		tshan1										
鐺	铛		tshan1								0.02	古代一種有腳的鍋	
撑	撑	tsʽang	tshan5	3	tshan1	9					0.05	形容詞。厲害，棒	
掌	掌								tshan5	11	0.01		
撐	撑		tshan5	3	tshan1	9	tshan5	10	tshan1	11	0.05	形容詞。厲害，棒	
棖	枨		dzan2	6									
挰	挰		dzan2										
掁	掁		dzan2										
揨	揨		dzan2										
鋥	锃		dzan4	1	dzan2	9			dzan6	11			
䂻	䂻		dzan6	1			dzan6	10	dzan6	11	55	䂻狗洞	
瞠	瞠		dzan6	1									
錚	铮						dzan6	10					
盛	盛		dzan6		dzan6	9					0.01	姓	
生	生		san1	1	san1	9	san1	10	san1	11		白讀	
甥	甥		san1	1	san3	9	san1	10	san1	11			
牲	牲		san1	2	san1	9	san1	10	san1	11			
狌	狌		san1										
省	省								san1	11	0.00	省晚青(定海)	
聲	声				san3	9					0.00	輕聲(鎮海)	
省	省	sang	san3	1	san3	9	san3	10	san3	11			
𤯡	𤯡		san5	1								竹木上極細小的芒刺	
貹	貹		san5										
生	生				san5	9					0.00	接生(鎮海)	
庚	庚		kan1	1	ken1	9	kan1	10	kan1	11			
粳	粳		kan1	1	kan1	9	kan1	10	kan1	11			
秔	粳		kan1	1									
稉	粳	kang	kan1	1									
更	更		kan1	2	kan1	9	kan1	10	kan1	11		五更	
埂	埂		kan1		kan1	9	kan3	10					
浭	浭		kan1										
羹	羹		kan1	1	kan1	9	kan1	10	kan1	11			
耕	耕		kan1	1	kan1	9	kan1	10	kan1	11			
畊	耕		kan1	1									
梗	梗		kan3	3	kan1	9			kan1	11		量詞	
郠	郠		kan3										
梗	梗		kan5	1								作梗	
䢚	䢚		kan5	3			kan5	10	kan1	11		黃鱔䢚洞	
耿	耿		kan5	3	kan1	9	kan3	10					
筻	筻		kan5										
坑	坑	kʽang	khan1	1	khan1	9	khan1	10	khan1	11			
劥	劥		khan1										
摼	摼		khan1										
硻	硻		khan1										
銵	銵		khan1										
揞	揞		khan5	1			khan5	10			2000	又音 揞掉	
坑	坑								khan5	11	0.00	屙坑(定海)	
鯁	鲠		gan4	1	gan6	9	gan6	10					
骾	鲠		gan4	1									
哽	哽								gan6	11	0.00	哽牢	#
硬	硬	ngang	ngan6	1	ngan6	9	ngan6	10	ngan6	11			
鞕	鞕	ngang	ngan6	7									
亨	亨	heng	han1	1	han1	9	han1	10	han1	11			
哼	哼	hang	han1	2			hen1	10	hen1	11			
悙	悙		han1										
脝	脝		han1										
夯	夯	hông	han5	2	han5	9	han5	10	han1	11			
行	行	ʽang	ghan2	1	ghan2	9	ghan2	10	ghan2	11	0.01	行李	
桁	桁	ʽang	ghan2	1	ghan2	9							
洐	洐		ghan2										
杏	杏		ghan4	1	ghan6	9	ghan2	10	ghan4	11			
莕	莕		ghan4										
行	行						ghan6	10			0.05	品行(北侖)	
阿	阿		an1	1							0.00	阿姆	
櫻	樱		an1	1	an1	9	an1	10			0.05	白讀 櫻桃	
桜	樱		an1	1							0.05	白讀 櫻桃	
鸚	鹦		an1	1	an1	9							
嗯	嗯		an1	2									
咉	咉		an1	4								用於應答	#
㿮	㿮		an1	3									
鶯	莺						an1	10				白讀	
㹙	㹙	ang	an3	1	an5	9	an3	10	an3	11	55	牛犢	
揞	揞		an5	1			an5	10			2000	揞掉	
良	良	liang	lian2	1	lian2	9	lian2	10	lian2	11			
凉	凉		lian2	1									
涼	凉	liang	lian2	1	lian2	9	lian2	10	lian2	11			
諒	谅	liang	lian2	2	lian2	9	lian6	10	lian6	11			
椋	椋		lian2										
