繁體	兼容格式	湯版頁碼	《阿拉宁波话》頁碼	朱版頁碼	釋義	備註	詞頻
兩三埭	lian sae da						
梁山伯廟	lian sae paq miau	213			位於高橋鎮邵家渡		55
兩相好	lian shian hau						
良心	lian shin	213			1. 心地；2. 內心對是非的正確認識，尤指跟自己行爲有關的		
良心生活	lian shin san waq						
良心生活	lian shin san wo						
良心𢱕𢱕過	lian shin taq taq kou						
兩兄弟	lian shion di	214			兄弟倆		
兩叔伯姆	lian soq pan m	214			兄之妻與弟之妻的合稱		55
兩刀草紙	lian tau tshau tsy						
兩聽頭	lian thin deu						
兩點水	lian ti syu	213			偏旁「冫」		
兩爹	lian tia	213	19	146	父子倆；父女倆		55
兩頂傘	lian tin sae						
兩隻手絞仔	lian tsaq shieu gau tsy	214			雙手交叉在胸前或雙手在背後相握		55
亮穿穿	lian tshoe tshoe	214	251	270	1. 形容說話坦率，不隱瞞；2. 形容公開，明瞭		55
亮吹熓	lian tshyu u	214			煤油燈吹熄		55
兩支	lian tsyu						
兩份人家	lian ven gnin ko						
兩桅船	lian wei zoe	366			兩根桅杆的帆船		55
兩樣	lian yan	214			不一樣		
兩樣生	lian yan san	214			不一樣		55
兩姨丈	lian yi jian						
兩用衫	lian yon sae		57	146	春秋兩季穿的單上衣		55
涼牀	lian zaon	213	91	320	舊式大木牀，做工考究，根據牀前木框的彎曲弧度可分爲「七彎涼牀」「九彎涼牀」等種類		55
糧食	lian zhiq	213			莊稼；統稱地裏長着的糧食作物		
兩	lian4	213			1. 數目，寧波話「兩」使用的範圍較普通話更廣，「二」使用的範圍較普通話更窄；2. 重量單位，十兩等於一斤		
亮	lian6	214	94	270	燈		
掠	liaq8	324			梳理		
䩍白	liau baq	110	273	501	形容臉色蒼白，毫無血色		55
撩篷	liau bon		106		一種簡易捕魚工具，在長竹竿上系一個小圓網，用來捕撈浮游在水面的魚		55
撩起	liau chi	110	143		舉起（手腳打人或踢人）		
撩起一腳	liau chi iq ciaq						
撩起一拳	liau chi iq jiu						
繚繳	liau ciau	110	58	475	舊時男子幹活時系在胸腰間的長布帶		55
料酒	liau cieu	111			做調料用的黃酒		
了藤	liau den	111	206		拉秧；瓜類過了生長期後，把藤蔓清理掉		55
了藤瓜	liau den kuo	111	74	8	1. 最後一批收摘的瓜；2. 喻指最後出現的人或最後得到的東西		55
了藤飯瓜	liau den vae kuo		74		喻指最後出現的人或最後得到的東西		55
蹽大水	liau dou syu						
料着	liau dzoq		174		猜到；料到		55
蹽河隔水	liau ghou kaq syu		267	100	路途遙遠，有阻隔		55
蹽河過水	liau ghou kou syu				路途遙遠，有阻隔		
撩海	liau he	110	98	459	笊籬		55
蹽近路	liau jin lu				抄近路		
瞭高	liau kau	110			舊時商店中，店主高坐在一角，以監視夥計的貨款出入，謂瞭高		55
料理	liau li	111	77	322	調味品，如醬、醋、糖、酒等		
料理弗得	liau li vaq taq			322	用在形容詞前面，表示說不出的，及其的（用於壞的方面）		
撩表	liau piau		291	459	大致；粗略		55
撩手	liau shieu		232		手夠不着		55
撩篩	liau sy	110	98	459	笊籬		55
聊天八腳	liau thi paq ciaq						
料車	liau tsho	111			裝運貨物的汽車		
料作	liau tsoq	111	60	322	1. 布料，木料，建築材料；2. 比喻可做某種事情的人才；3. 指人的品質		55
撩勿着	liau vaq dzoq		21	460	岳父，譫稱（撩弗着：夠不着。丈人諧音長人，故稱）		
撩弗着	liau vaq dzoq		21	460	岳父，譫稱（撩弗着：夠不着。丈人諧音長人，故稱）		55
撩勿着	liau vaq zoq		21	460	岳父，譫稱（撩弗着：夠不着。丈人諧音長人，故稱）		55
撩弗着	liau vaq zoq		21	460	岳父，譫稱（撩弗着：夠不着。丈人諧音長人，故稱）		55
蹽形隔水	liau yin kaq syu	110			路途遙遠，有阻隔	湯版作「遼形夾勢」。	55
蹽遠隔水	liau yu kaq syu		267	100	路途遙遠，有阻隔		55
料勺	liau zoq	111	93	322	舀肥的長柄勺		55
料着	liau zoq	111			猜到；料到		55
寮	liau2		8		地名用詞，俗稱相連的房屋爲寮房，因此得名		
撩	liau2	110	143	459	用手或工具接觸或拿取高處、遠處或水裏的東西		
蹽	liau2	110	161	100	1. 趟水過去；2. 抄（近路）	湯版作「遼」，朱版作「尥」。	
料	liau6	111	105	321	糞便；肥料		
㧕漿糊	lieu cian wu						
留級	lieu ciq	150			學生學年成績不合升級標準，留在原年級重新學習。		
柳條	lieu diau	150			柳樹的枝條		
流火	lieu hou	150	56	325	丹毒，急性發作的絲蟲病，因其漫腫灼痛而名		
柳隆慶	lieu lon chin	150			指挑撥離間、離間骨肉的人		55
流星	lieu shin	150			流星		
溜到阿裏算阿裏	lieu tau aq li soe aq li						
㧕鳥窠	lieu tiau khou						
溜跌	lieu tiq		166		滑倒		55
流黃	lieu uaon	150			燒得嫩而未凝固的蛋黃		55
柳樹	lieu zyu	150			柳樹		
㧕	lieu6	150	149	193	1. 用棍棒、筷子等攪動；2. 用棍棒等劃取手夠不着地方上的東西；3. 指拆散		
溜	lieu6	150	166, 302	440	1. 滑行；2. 滑；3. 耕地時吆喝牛轉彎的聲音		
靈巧	lin chiau	262			靈活與巧妙		
靈清	lin chin	262	250	180	清楚		55
領圈	lin chiu	262	57	364	套在脖間以保暖的一種毛線等編織物		55
領徑	lin cin	263	250	364	方便；不復雜		578
零蛋	lin dae	262			零分的詼諧說法		
零蛋分	lin dae fen	262	124		零分的詼諧說法		418
疄頭	lin deu		5	484	畦地中與地㽘相對的部分，一般做成長方形，上種作物。《廣韻·真韻》疄，田壟。力珍切。」	《阿拉宁波话》也作「棱頭」。	55
零頭	lin deu	262			1. 不夠一定單位的零星數量；2. 材料使用後剩下的零碎部分		
領頭	lin deu	263	58	364	領子		
零頭布	lin deu pu	262			零碎布料		55
疄頭頂	lin deu ten	262			已做成疄的地面種植部分	湯版末字作「登」，非。	55
臨着	lin dzoq		214		輪到（臨即「輪」之音轉）		55
菱粉	lin fen	262			菱的澱粉，勾芡用		55
靈峯	lin fon						
領行情	lin ghaon jin						
林夏畈	lin gho pae						
靈橋牌普通話	lin jiau ba phu thon wo	262	52		指夾雜寧波腔的普通話，因靈橋是寧波最有代表性的建築之一，故名		
領口	lin kheu	263			領子兩頭相合的地方		
菱角	lin koq	262	108	340	菱形的陀螺		
靈光	lin kuaon	262	249		1. 好，效果佳；2. 聰明，靈活；3. 靈驗；4. 靈通		
領來兒子	lin le ng tsy	262			沒有血緣或親戚關係，而是領養的兒子		55
領領徑徑	lin lin cin cin	263			方便；不復雜		418
㔂魚鱗	lin ng lin				刮去魚鱗		
領囡	lin noe	263	22	364	領養的女兒		55
零碎	lin sei	262			1. 零星的，細碎的；2. 非整數		
零碎銅鈿	lin sei don di	262			零錢		578
零碎鈔票	lin sei tshau phiau	262			零錢		578
領小人	lin shiau gnin						
靈性	lin shin	262	128	180	靈氣（一般用於小孩）		
鄰舍	lin so	262	87	165	鄰居		
鄰舍隔壁	lin so kaq piq	262	87	165	隔壁鄰居		578
鄰舍家	lin so ko	262	87	165	鄰居		578
臨帖	lin thiaq	262			照着字帖臨摹		
零拆躉買	lin tshaq ten ma	262			零買和整批賣		55
翎子	lin tsy	262			暗示		
零用鈿	lin yon di	262			零花錢		578
臨紹	lin zhiau						
臨紹小片	lin zhiau shiau phi						
臨着	lin zoq	262			輪到（臨即「輪」之音轉）		55
臨時口緊	lin zy kheu cin		289		臨時；臨到事情發生的時候		55
領市面	lin zy mi		323		1. 瞭解行情；2. 瞭解情況		55
㔂	lin2		156	500	刮去（魚鱗）	也作「㨆」。	
林	lin2		8		地名用詞，本指山林，也指樹木多的地方		
疄	lin2	262	122	484	1. 一塊塊長方形排列整齊的田地；2. 量詞，旱地的計量單位	《阿拉宁波话》作「嶙」、「棱」。	
菱	lin2	261			菱		
零	lin2	262			1. 零碎；2. 零頭，零數；3. 表示沒有的數量		
靈	lin2	262		180	1. 靈驗；2. 聰明，玲瓏		
領	lin4	262	175		1. 瞭解；2. 帶；照看		
令	lin6	262			量詞		
立起	liq chi						
立起來	liq chi le						
立起身	liq chi shin						
立秋	liq chieu	356			二十四節氣之一		
立記隑記	liq ci nge ci						
力道	liq dau	355	51	9	力氣		
力道大	liq dau dou				力氣大		
立夏	liq gho	356			二十四節氣之一		
立個	liq ghoq						
立個	liq goq						
立好	liq hau						
立直	liq jiq						
栗殼色	liq khoq saq	356	272		像栗子殼那樣的顏色		55
立過	liq kou						
立過去	liq kou chi						
立過來	liq kou le						
立骨瘦	liq kuaq seu		235	69	形容極瘦		55
立了	liq laq						
立勒	liq laq						
立牢	liq lau						
力力辣辣	liq liq laq laq						
粒粒瘃瘃	liq liq tsoq tsoq	356	261	374	形容不光滑，有顆粒		55
立攏	liq lon						
立壁角	liq piq koq	356			學生被罰面對牆角站立		55
律師	liq sy	356			律師		
立的	liq tiq				站着		
立冬	liq ton	356			二十四節氣之一		
立隻	liq tsaq						
立早章	liq tsau tsaon	356			指「章」姓，爲區別其他同音姓氏		55
癧串	liq tshoe	356	53	374	瘰癧，頸部淋巴成串腫大的疾病		55
立春	liq tshyun	356			二十四節氣之一		
䉭子	liq tsy	356	101	502	竹篾編成的曬物器具，形如門板		55
栗子	liq tsy	356			栗子樹的果實		
癧子頸	liq tsy cin	356			瘰癧，頸部淋巴成串腫大的疾病		55
栗子番薯	liq tsy fae zyu	356			甘薯的一個品種，澱粉多，水分少，味似栗子而名		55
栗子肉	liq tsy gnioq	356			像栗子形狀的很解釋的一團肉		55
立勿起來	liq vaq chi le				站不起來		
立弗起來	liq vaq chi le				站不起來		1
立勿牢	liq vaq lau				站不住		
立弗牢	liq vaq lau				站不住		1
立勿穩	liq vaq uen				站不穩		
立弗穩	liq vaq uen				站不穩		1
立上	liq zaon						
立上去	liq zaon chi				站上去		
立上來	liq zaon le				站上來		
櫟斜	liq zhia						
立字據	liq zy ciu	356			寫下書面的憑證		55
立時裏	liq zy li		289	3, 69	一時；一下子		55
立時三刻	liq zy sae khaq	356	289	3, 69	一時；一下子		55
䉭	liq8	356	101		竹篾編成的曬物器具，形如門板		
列	liq8	356	155	100	用刀裁（紙張）		
立	liq8	356			站立		
粒	liq8	356	122	374	量詞。顆		
𢯰	liq8	356	160	387	讓帶水的東西自行滴乾水		
亂揞西揞	loe ae shi ae				亂扔		
亂揞西揞	loe an shi an				亂扔		
亂喫三千	loe chioq sae chi		332		胡亂地喫		55
亂喫西喫	loe chioq shi chioq		332		亂喫		55
亂七八糟	loe chiq paq tsau	162			亂七八糟		
卵漿	loe cian	162	46	168	精液		55
卵袋	loe de	162	46	168	陰囊		55
卵袋黃	loe de uaon	162	46	168	睾丸		55
卵袋黃奔勒青腫	loe de waon pen laq chin tson						
亂揞西揞	loe ghae shi ghae				亂扔		
亂講三千	loe kaon sae chi				亂說		
亂講西講	loe kaon shi kaon		332		亂說		55
亂揞西揞	loe khan shi khan				亂扔		
亂開西開	loe khe shi khe		332		亂開		55
卵𠺢𠺢	loe ko ko	162			小雞雞		
亂弄三千	loe lon sae chi		332		亂搞		55
亂買西買	loe ma shi ma		332		亂買		55
亂夢	loe maon	162		160	夢		578
亂網	loe maon				指捕撈其他東西時一起上來的海鮮		
亂夢地裏	loe maon di li	162	50	160	睡夢中		55
亂夢翻山	loe maon fae sae						
亂網蟹	loe maon ha				指捕撈其他東西時一起上來的螃蟹		
卵毛	loe mau	162	46	168	陰毛		55
亂摸西摸	loe moq shi moq						
卵脬	loe phau	162	46	168	女陰		55
卵脬皮	loe phau bi	162			1. 女陰；2. 特指陰脣		55
亂寫三千	loe shia sae chi		332		亂寫		55
亂寫西寫	loe shia shi shia				亂寫		
亂算三千	loe soe sae chi		332		胡亂地算		55
亂打三千	loe tan sae chi				胡亂地算		
亂抓亂挖	loe tsa loe uaq						
亂唱三千	loe tshaon sae chi		332		亂唱		55
亂草字	loe tshau zy	162			潦草的字		55
亂忖三千	loe tshen sae chi		332		亂想		55
亂鐘	loe tson				謂人舉止異常		
卵子	loe tsy	162	46	167	男陰		
卵子	loe tsyu		46		男陰		
卵黃	loe uaon	162	46	168	睾丸		55
亂話	loe wo	162	52	160	謊話		418
亂話大三千	loe wo dou sae chi			160	胡說八道		
亂話三千	loe wo sae chi		332	160	胡說八道		55
亂話到地	loe wo tau di	162		160	胡說八道		55
亂話到底	loe wo tau ti	162	332	160	胡說八道		55
亂用三千	loe yon sae chi		332		亂用		55
亂石	loe zaq		87		形狀不規則的石頭		
亂石牆	loe zaq zhian	162	83		用亂石壘成的牆		55
亂坐西坐	loe zou shi zou						
卵	loe4	162	46		男陰		
亂	loe6	162			1. 沒有只需；2. 胡亂地，隨便地		
聾𦗭	lon ban	288	38	346	聾子		55
聾𦗭造說話	lon ban zau syuq wo						
弄堂	lon daon	288			小巷		
弄堂口頭	lon daon kheu deu				弄堂口		
弄堂弄尾	lon daon lon mi						
弄堂㞘底	lon daon toq ti				弄堂底		
龍頭	lon deu	287	88	56	自行車、三輪車的車把		
龍頭薧	lon deu khau			56	龍頭魚的乾製品		
龍頭鮳	lon deu khau	287	69		龍頭魚的乾製品		55
龍頭魚	lon deu ng	287			龍頭魚，曬乾後稱「龍頭鮳」		55
龍頭折轉	lon deu tsoq tsoe						
弄掉	lon diau			135	搞壞		
弄賺	lon dzae				弄錯		
弄仿	lon faon	288	291		也許；可能；恐怕（仿即「弗好」之合音）		55
弄發弄發	lon faq lon faq		331		弄來弄去；做着做着		55
弄下飯	lon gho vae				燒菜		
弄好挔好	lon hau i hau				事情處理停當		
龍蝦	lon huo	287		56	龍蝦		
礱糠	lon khaon	287			稻穀脫下的外殼		
籠褲	lon khu	288	59	356	漁民及舊時農民套穿在褲子外面用土布做的大褲子	推薦作「襱褲」。	
襱褲	lon khu	288	59	356	漁民及舊時農民套穿在褲子外面用土布做的大褲子	《廣韻》襱，盧紅切，襱裙。也作「籠褲」。	55
礱穀	lon koq	288			脫去稻穀穀殼		55
弄過去	lon kou chi						
龍光閃	lon kuaon shi	287	4	56	閃電		55
龍骨	lon kuaq	287	87	56	1. 老式水車上串聯車板的橫軸；2. 船隻、飛機等像脊椎和肋骨那樣的製成和承重結構		
龍骨車	lon kuaq tsho	287	105		木質的老式水車		
龍骨牆	lon kuaq zhian	287	83		用中空的三面磚壘成的牆		55
弄勒可憐	lon laq khou li				弄了半天		
弄勒相相	lon laq shian shian				會弄		
弄勒相樣	lon laq shian yan				會弄		
弄勒勿好還要撥領導喫僝頭	lon laq vaq hau wa iau paq lin dau chioq zae deu						
弄勒弗好還要撥領導喫僝頭	lon laq vaq hau wa iau paq lin dau chioq zae deu						1
弄勒樣	lon laq yan				會弄		
弄弄看	lon lon khe				試着弄一下		
弄落	lon loq						
龍山	lon sae	287			閃電		
弄煞可憐	lon saq khou li				弄了半天		
弄慫	lon son	288	196	135	捉弄；欺侮；算計	寫法衆多，推薦作「弄送」。	
弄聳	lon son	288	196	135	捉弄；欺侮；算計	寫法衆多，推薦作「弄送」。	
弄送	lon son	288	196	135	捉弄；欺侮；算計	寫法衆多，推薦作「弄送」。	418
弄鬆	lon son	288	196	135	捉弄；欺侮；算計	寫法衆多，推薦作「弄送」。	
弄送煞人	lon son saq gnin						
龍鬚筍	lon syu syun	287	74	57	龍鬚竹的筍		55
龍鬚竹	lon syu tsoq	287			龍鬚竹		55
攏總	lon tson	288			一共；總共		
弄勿好	lon vaq hau	288	291, 318		1. 弄不好；2. 也許；可能；恐怕		
弄弗好	lon vaq hau			135	1. 弄不好；2. 也許；可能；恐怕		55
弄勿來	lon vaq le				弄不來		
弄弗來	lon vaq le				弄不來		1
弄勿靈清	lon vaq lin chin				弄不清		
弄弗靈清	lon vaq lin chin				弄不清		1
弄勿相相	lon vaq shian shian				不會弄		
弄弗相相	lon vaq shian shian				不會弄		1
弄勿相樣	lon vaq shian yan				不會弄		
弄弗相樣	lon vaq shian yan				不會弄		1
弄勿相像	lon vaq shian zhian				不會弄		
弄弗相像	lon vaq shian zhian				不會弄		1
弄勿樣	lon vaq yan				不會弄		
弄弗樣	lon vaq yan				不會弄		1
弄勿像	lon vaq zhian				不會弄		
弄弗像	lon vaq zhian				不會弄		1
龍鳳帳鉤吊兩旁	lon von cian keu tiau lian baon						
龍鳳花燭	lon von huo tsoq	287			舊時結婚時在新房裏點的紅蠟燭，上面用龍鳳圖案等點綴		55
龍鳳戒	lon von ka	287			刻着龍或鳳的金戒指，舊時作定親用		55
龍鳳細吹	lon von shi tshyu	287			舊時結婚時的一種儀式，通常是八個身着彩服的吹打手引到花轎沿途奏樂。同時，在禮堂中迎客、宴請時也吹奏，增強喜慶氣氛		55
龍洋	lon yan	287			清代發行的鑄有龍的圖案的銀元		55
礱	lon2	287			木質的脫去稻穀外皮的農具		
籠	lon2	288			量詞		
弄	lon6	288		134	1. 作，擺弄；2. 設法取得；3. 捉弄；欺負		
綠萍	loq bin		116	383	浮萍的一種，可作飼料或肥料，多人工養殖		55
落篷	loq bon	339			將帆降落		55
落泊	loq boq	339	199	391	窮困失意	湯版等作「落薄」，非。	
落泊年口	loq boq gni kheu						
落去	loq chi	338	291		這樣下去；可能		
六親勿認	loq chin vaq gnin				六親不認		
六親弗認	loq chin vaq gnin				六親不認		1
六七	loq chiq	338			六十七		
六張	loq cian						
落腳	loq ciaq	339	206	391	蔬菜、瓜果過了成熟時節		
落腳茄	loq ciaq jie	339			1. 最後一批成熟的茄子；2. 喻指後到的人		55
六九	loq cieu	338			六十九		
絡酒埕	loq cieu jin						
六斤四兩	loq cin sy lian	337	42	44	腦袋的謔稱		55
落岱山	loq de sae		324		公款進入私人腰包（岱山：舟山海島名，諧音袋衫）		55
落袋衫	loq de sae		324		公款進入私人腰包		55
綠豆	loq deu	339			綠豆		
落頭	loq deu		50	391	分寸；法度；規矩		55
綠頭鴨	loq deu ae	339		383	一種蛋鴨，頭頂羽毛呈暗綠色		55
綠頭鴨	loq deu aq	339			一種蛋鴨，頭頂羽毛呈暗綠色		55
綠豆芽	loq deu ngo	339			綠豆芽		
落地	loq di	338			嬰兒生下來		
落地耙	loq di bo		104		耙的一種，用竹竿做長柄，有鐵齒，給套種在早稻中間的晚青（晚稻）耘田時，來回拉動以鬆土除草		55
落地頭	loq di deu	338					55
落地雷	loq di lei	338	4		霹靂。雲和地面之間發生的一種強烈雷電現象，響聲很大，危害性也很大		55
落地生根	loq di sen ken						
落第秀才	loq di shieu dze						
落銅鈿	loq don di						
駱駝	loq dou	340			駱駝		
駱駝蒲薺	loq dou bu ji	340			一種荸薺，產於鎮海駱駝，爲寧波地方特產		
落軋	loq gaq	339	199	390	言行不慎被人抓住把柄		55
六號	loq ghau	337			陽曆每個月的第六天		
六二	loq gni	338			六十二		
落肉	loq gnioq		171		身體消瘦；體重減輕		55
綠莧菜	loq hae tshe	339			莧菜的一個品種，莖葉都呈綠色		55
綠茵茵	loq in in						
六一	loq iq	337			六十一		
綠鬱鬱	loq iuq iuq	339		383	形容比率蔥鬱		55
六張	loq jian						
落弶老鼠	loq jian lau tsy	338	36	392	喻指懾於壓力、不敢亂說亂動的人		55
落場勢	loq jian syu	338			比喻讓人下得來臺的面子		55
落潮	loq jiau	338			退潮		
落直	loq jiq	339	238	391	1. 品行端正；2. 妥帖		578
六梗	loq kan						
落檻	loq khae	338	250	391	服帖；服氣		55
綠殼	loq khoq	339	34	391	強盜		55
落課	loq khou	338			下課		55
落家	loq ko		129	391	個人；居民		55
落家房子	loq ko vaon tsy	338			一般居民居住的房子		55
六穀	loq koq	337	71	44	玉米		578
六穀胖	loq koq phaon		80		玉米做的爆米花		55
六穀餅	loq koq pin				玉米餅		
六穀蘇頭	loq koq su deu				玉米鬚		
六穀勿結	loq koq vaq ciq						
六穀弗結	loq koq vaq ciq						1
鹿過江	loq kou kaon		323		相傳老虎初遇鹿，見其長角，懼而避之。後知鹿性溫馴，追捕之，鹿已過江遠去。後以「鹿過江」比喻失去機會		55
六梗	loq kuan						
落棺材	loq kun ze	339	173		表示強烈不滿或責難，相當於「什麼」或「狗屁」		55
落爛雪片	loq lae syuq phi						
落殮	loq li		173		入檢		55
六兩	loq lian	338			六兩		
絡亂	loq loe	339			混亂吵鬧		55
六六	loq loq	338			六十六		
落落直直	loq loq jiq jiq	339			1. 品行端正；2. 妥帖		578
樂樂惠惠	loq loq wei wei	339			舒服；合意		578
六六順	loq loq zyun						
落露水	loq lu syu	338			下露		55
落帽風	loq mau fon				風大	見《字語彙解》p. 517	
絡麻	loq mo		116		學名黃麻，一年生草本韌皮纖維作物，葉子狹長形，枝體比苧麻高大		55
落木	loq moq		18	390	木匠做木工活先要截取木料（落：截，鋸），引申爲起先、開始	朱版作「落目」。	55
六五	loq ng	338			六十五		
落班	loq pae				下班		
六八	loq paq	338			六十八		
六三	loq sae	338			六十三		
落霜	loq saon	339			下霜		
落手	loq shieu	338	191	390	下手		55
落手輕眼	loq shieu chin ngae						
落手快	loq shieu khua						
落沙貨	loq so hou		324	392	趁機私下剋扣錢物		55
六四	loq sy	338			六十四		55
六四油	loq sy yeu	339			舊時一種甬產上等醬油		55
漉篩油	loq sy yeu	339	77	456	舊時一種甬產上等醬油	也作「六四油」。	55
落水	loq syu		169		放到水裏。特指把衣料放到水裏使收縮，或把新的貼身穿的衣服在水裏略洗一下		
落水管	loq syu kun	338			水落管，引檐溝水到地面的水管，多用鐵皮等製成		
盝筍	loq syun				用毛竹筍烘曬而成的大筍乾	寫法來自《杭州方言詞典》。	
落雪	loq syuq	339			下雪		55
落雪天家	loq syuq thi ko				下雪天		
落檔	loq taon		191		比喻找到合適行業		55
樂得	loq taq	339		391	順其自然，正好可以	朱版作「落得」。	
落湯雞	loq thaon ci	338			1. 全身都是水的雞；2. 比喻渾身溼透的人		
烙鐵	loq thiq	338			1. 熨斗；2. 焊接時熔化焊錫用的工具		
落拓	loq thoq	339			爲人實在；通情達理		
落底	loq ti			391	事情的歸宿、結局		
六隻指末頭	loq tsaq tsy maq deu	337			六指		55
落車	loq tsho				下車		
樂惠	loq wei	339	218	67	舒服；合意	又作「樂胃」、「落胃」	578
樂胃	loq wei		218	67	舒服；合意		55
落位	loq wei	338	218		東西放得到位		55
落胃	loq wei		218		舒服；合意		55
落夜	loq ya		170	391	摸黑；搞到晚上		55
落洋順風	loq yan zyun fon						
落油鍋	loq yeu kou						
綠油油	loq yeu yeu	339			形容綠而潤澤		
落雨	loq yu	338			下雨		
落雨了	loq yu lei				下雨了		
落雨𡀂	loq yu lei				下雨了		
落雨落雪	loq yu loq syuq						
落雨明朝	loq yu men ciau					俗語，上句爲「石板還潮」	
落雨明朝	loq yu mi ciau					俗語，上句爲「石板還潮」	
落雨明朝	loq yu min ciau					俗語，上句爲「石板還潮」	
落雨明朝	loq yu mon ciau					俗語，上句爲「石板還潮」	
落雨天家	loq yu thi ko	338			下雨天		578
落月	loq yuq	339	180	390	孕婦將生產		
六月六	loq yuq loq						
六月債	loq yuq tsa						
六月乘風涼	loq yuq zhin fon lian						
絡石板	loq zaq pae						
落材	loq ze		173		1. 入檢；2. 表示強烈不滿或責難，相當於「什麼」或「狗屁」		55
落象	loq zhian	338			象棋術語，象向後行走		55
絡繩	loq zhin		105	286	一種手指粗的麻繩		55
落仕	loq zy	338			象棋術語，仕向後行走		55
落士	loq zy	338			象棋術語，士向後行走		55
落市	loq zy	338	206	391	蔬菜、瓜果過了時令		55
六神無主	loq zyun vu tsyu						
六神無主	loq zyun wu- tsyu						
六十	loq zyuq	338			六十		
六十一	loq zyuq iq	338			六十一		
六	loq8	337			數字		
漉	loq8	339			浸溼		
絡	loq8	339	150	286	用繩子等從下方套住		
綠	loq8	339			一種顏色		
落	loq8	338, 339	143	193, 390	1. 私下剋扣錢物；2. 下；3. 特指下雨；4. 截，斬，鋸；5. （大小便）拉在（牀上）		
蘿蔔	lou boq	182			蘿蔔		
蘿蔔乾	lou boq ki-ke	182			蘿蔔乾		
蘿蔔絲刨	lou boq sy bau	182			把蘿蔔等擦成絲的器具		55
蘿蔔菜	lou boq tshe	182			蘿蔔纓子		55
擄頭髮	lou deu faq						
擄掉	lou diau			418	除去，不計在內		
擄翻	lou fae			418	除去，不計在內		
羅漢	lou he	181			羅漢		
羅漢豆	lou he deu	181	71	208	豌豆，子實小而圓		
羅漢	lou hei-				羅漢		
羅漢豆	lou hei- deu		71		豌豆，子實小而圓		
籮窠	lou khou	182	92	450	搖籃		55
鑼鼓腳	lou ku ciaq	182			走路時兩腿呈拱形的行走姿態		55
鑼鼓咚咚響	lou ku ton ton shian						
擄落	lou loq						
囉囉叫	lou lou ciau						
擄摸過賬	lou moq kou cian		336		粗略計算；含混處理		55
羅浦	lou phu						
擄錫箔灰	lou shiq boq huei						
羅宋帽	lou son mau	182	56	208		《阿拉宁波话》作「羅松帽」，Russian 音譯一般寫作「羅宋」而非「羅松」。	55
螺螄青	lou sy chin		70		青魚，外形像草魚，似較細而圓，青黑色，以螺螄等爲食，故名		55
腡底	lou ti	181			手指末端有指紋的略微隆起的部分		55
腡頂	lou tin	181			手指末端有指紋的略微隆起的部分		55
腡紋	lou ven	181			指紋		55
擄順毛	lou zyun mau	182	323		本指順着動物的毛撫摸，比喻順着別人的脾氣說話		55
籮	lou2	182	47	450	用竹篾或柳條編成的器具		
腡	lou2	181	47	368	呈螺旋形而閉合的指紋		
擄	lou4	182	150	418	用手在平面聚攏物體	湯版寫「攎」，《阿拉宁波话》記了「擄」、「攎」兩種寫法。兩種寫法均有理據。個人更推薦寫「擄」，聲符和聲調都更合 lou4 的讀音。	
邏	lou6	182		354	巡視		
蘆稷	lu ci	46	71	144	高粱		
蘆穄	lu ci	46	71	144	高粱	也作「蘆稷」。	55
蘆穄開花散滔滔	lu ci khe huo sae thau thau						
蘆穄桿	lu ci ki-ke	46			高粱桿		55
蘆穄掃帚	lu ci sau cieu	46			用高粱穗綁成的掃帚		55
路道	lu dau	47		428	門路		
路頭戲	lu deu shi						
路條	lu diau	47			通行證		
滷滯	lu dzyu	47	63	150	鹽滷		55
櫓柱頭	lu dzyu deu	47			支撐櫓的柱子的頂端		55
蘆箬	lu gniaq	46			一種蘆葉，常作包粽子用		55
蘆花	lu huo	46			蘆葦花軸上密生的白毛		
蘆花雞	lu huo ci	46	110	144	一種毛羽黑白相間如蘆花的雞，個大，肉肥美		
櫓臍眼	lu ji ngae	47			櫓中部的小洞		55
盧琴	lu jin	46	107	243	二胡		55
路街	lu ka			428	街道		
路街裏	lu ka li		12		大街上		55
路高頭	lu kau deu		12		路上		55
蘆根	lu ken	46			蘆葦的地下莖		
路裏	lu li	47	12		路上		55
路南頭	lu nei-nae deu	47			路南		55
鱸魚	lu ng	47			鱸魚		
路邊頭	lu pi deu	47			路邊		55
路北頭	lu poq deu	47			路北		55
路西頭	lu shi deu	47			路西		55
櫓手	lu shieu	47			櫓的把手		55
路數	lu su	47		428	1. 門路；2. 章法		
鷺鷥	lu sy	47			一種水鳥		
露水	lu syu	47			露		
露水夫妻	lu syu fu chi	47			短期的夫妻，多指不正當男女關係		
櫓帶	lu tan	47			固定櫓的帶子		55
路梯	lu the	47	84	427	1. 樓梯；2. 梯子		2000
路梯棚頭	lu the ban deu	47	84	428	樓梯裏；樓梯		55
路梯門	lu the men	47			安裝在樓梯上的門		55
路梯檔	lu the taon	47			樓梯的欄杆、扶手		55
路梯	lu thi			427	1. 樓梯；2. 梯子		1
露天牌九	lu thi ba cieu						
路梯筆篤	lu thi piq toq						
路梯橫頭	lu thi wan deu						
路東頭	lu ton deu	47			路東		55
滷菜	lu tshe		69	150	淡菜的醃製品，味極鹹		55
路菜	lu tshe	47	77	427	旅途中喫的糕點食品		55
路差絞七八	lu tsho gau chiq paq		341		指兩地距離很遠		
路差汪百里	lu tsho uaon paq li		341		指兩地距離很遠		
